No.,Time,Source,Destination,Protocol,Length,Info
11696,120.791499,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=7851670 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11697,120.791518,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=7854550 Win=4162 Len=0
11698,120.792204,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=7854550 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11699,120.792578,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=7855990 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11700,120.792616,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=7857430 Win=4162 Len=0
11701,120.792695,18.64.141.129,10.200.52.16,TCP,1494,"[TCP Previous segment not captured] 443  >  62984 [PSH, ACK] Seq=7858870 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11702,120.792714,10.200.52.16,18.64.141.129,TCP,66,[TCP Dup ACK 11700#1] 62984  >  443 [ACK] Seq=7701 Ack=7857430 Win=4162 Len=0 SLE=7858870 SRE=7860310
11703,120.79281,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=7857430 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11704,120.792826,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=7860310 Win=4162 Len=0
11705,120.793152,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=7860310 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11706,120.793302,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=7861750 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11707,120.793313,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=7863190 Win=4162 Len=0
11708,120.793547,18.64.141.129,10.200.52.16,TCP,1494,"[TCP Previous segment not captured] 443  >  62984 [PSH, ACK] Seq=7864630 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11709,120.793559,10.200.52.16,18.64.141.129,TCP,66,[TCP Dup ACK 11707#1] 62984  >  443 [ACK] Seq=7701 Ack=7863190 Win=4162 Len=0 SLE=7864630 SRE=7866070
11710,120.793667,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=7863190 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11711,120.793677,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=7866070 Win=4162 Len=0
11712,120.793943,18.64.141.129,10.200.52.16,TCP,1494,"[TCP Previous segment not captured] 443  >  62984 [PSH, ACK] Seq=7870390 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]"
11713,120.793952,10.200.52.16,18.64.141.129,TCP,66,[TCP Dup ACK 11711#1] 62984  >  443 [ACK] Seq=7701 Ack=7866070 Win=4162 Len=0 SLE=7870390 SRE=7871830
11714,120.79407,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=7866070 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11715,120.794079,10.200.52.16,18.64.141.129,TCP,66,62984  >  443 [ACK] Seq=7701 Ack=7867510 Win=4162 Len=0 SLE=7870390 SRE=7871830
11716,120.794207,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=7867510 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11717,120.794217,10.200.52.16,18.64.141.129,TCP,66,62984  >  443 [ACK] Seq=7701 Ack=7868950 Win=4162 Len=0 SLE=7870390 SRE=7871830
11718,120.794338,18.64.141.129,10.200.52.16,TCP,1494,[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=7868950 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
11719,120.794352,10.200.52.16,18.64.141.129,TCP,54,62984  >  443 [ACK] Seq=7701 Ack=7871830 Win=4162 Len=0
11720,120.794619,18.64.141.129,10.200.52.16,TCP,1494,443  >  62984 [ACK] Seq=7871830 Ack=7701 Win=538 Len=1440 [TCP segment of a reassembled PDU]
