No.,Time,Source,Destination,Protocol,Length,URLs
6929,60.761866,18.64.141.129,10.200.52.16,TCP,1494,[]
9604,90.995869,18.64.141.129,10.200.52.16,TCP,1494,[]
6290,52.167137,104.18.2.161,10.200.52.16,UDP,819,[]
13042,131.290356,10.200.52.16,18.64.141.129,TCP,54,[]
13760,140.914036,18.64.141.129,10.200.52.16,TCP,1494,[]
16693,181.011122,18.64.141.129,10.200.52.16,TCP,1494,[]
8902,81.268491,10.200.52.16,18.64.141.129,TCP,54,[]
16288,170.892991,18.64.141.129,10.200.52.16,TCP,1494,[]
11796,120.805503,10.200.52.16,18.64.141.129,TCP,54,[]
986,10.480496,18.64.141.129,10.200.52.16,TCP,1494,[]
11269,110.951038,10.200.52.16,18.64.141.129,TCP,54,[]
7983,71.006788,10.200.52.16,18.64.141.129,TCP,54,[]
6170,51.583548,104.18.2.161,10.200.52.16,UDP,708,[]
6050,51.094102,18.64.141.129,10.200.52.16,TCP,1494,[]
7385,70.323139,18.64.141.129,10.200.52.16,TCP,796,[]
17087,181.180126,10.200.52.16,18.64.141.129,TCP,90,[]
19541,211.184866,10.200.52.16,18.64.141.129,TCP,90,[]
14906,154.774934,10.200.52.16,8.8.8.8,TCP,54,[]
19866,220.814949,18.64.141.129,10.200.52.16,TCP,1494,[]
12294,129.101792,10.200.52.16,172.217.17.46,UDP,75,[]
16495,174.302464,172.217.19.202,10.200.52.16,UDP,69,[]
10915,110.781318,10.200.52.16,18.64.141.129,TCP,54,[]
19793,220.679727,10.200.52.16,18.64.141.129,TCP,54,[]
9461,90.972803,18.64.141.129,10.200.52.16,TCP,1494,[]
2463,21.003934,10.200.52.16,18.64.141.129,TCP,66,[]
17279,181.253248,10.200.52.16,18.64.141.129,TCP,54,[]
269,0.558737,10.200.52.16,18.64.141.129,TCP,66,[]
7963,71.001509,10.200.52.16,18.64.141.129,TCP,66,[]
3581,31.064176,18.64.141.129,10.200.52.16,TCP,1494,[]
12943,131.241396,18.64.141.129,10.200.52.16,TCP,1494,[]
11709,120.793559,10.200.52.16,18.64.141.129,TCP,66,[]
72,0.402656,18.64.141.129,10.200.52.16,TCP,1494,[]
9455,90.971683,10.200.52.16,18.64.141.129,TCP,54,[]
18446,201.354458,18.64.141.129,10.200.52.16,TCP,1494,[]
6510,54.067256,104.18.2.161,10.200.52.16,UDP,1242,[]
12451,130.929323,10.200.52.16,18.64.141.129,TCP,54,[]
2822,27.040756,13.107.6.158,10.200.52.16,TLSv1.2,356,[]
4525,41.698668,18.64.141.129,10.200.52.16,TCP,1494,[]
590,0.725379,18.64.141.129,10.200.52.16,TCP,1494,[]
4592,41.732283,10.200.52.16,172.64.131.9,TCP,54,[]
13137,134.728041,10.200.52.16,172.217.19.202,UDP,529,[]
16598,180.859885,18.64.141.129,10.200.52.16,TCP,1494,[]
8849,81.24127,10.200.52.16,18.64.141.129,TCP,54,[]
19881,220.82299,18.64.141.129,10.200.52.16,TCP,1494,[]
10842,110.771062,10.200.52.16,18.64.141.129,TCP,54,[]
10230,101.183438,18.64.141.129,10.200.52.16,TCP,1494,[]
4625,41.759578,18.64.141.129,10.200.52.16,TCP,1494,[]
5905,51.045625,18.64.141.129,10.200.52.16,TCP,1494,[]
3759,36.617005,35.241.24.90,10.200.52.16,TCP,66,[]
6846,60.73635,18.64.141.129,10.200.52.16,TCP,1494,[]
14344,150.779004,10.200.52.16,18.64.141.129,TCP,54,[]
16591,180.859272,18.64.141.129,10.200.52.16,TCP,1494,[]
2029,20.767892,18.64.141.129,10.200.52.16,TCP,1494,[]
10851,110.772255,10.200.52.16,18.64.141.129,TCP,66,[]
8870,81.262341,10.200.52.16,18.64.141.129,TCP,54,[]
19519,211.176083,10.200.52.16,18.64.141.129,TCP,90,[]
9425,90.96711,18.64.141.129,10.200.52.16,TCP,1494,[]
5455,50.701371,18.64.141.129,10.200.52.16,TCP,1494,[]
4501,41.677523,18.64.141.129,10.200.52.16,TCP,1494,[]
1450,10.798419,10.200.52.16,18.64.141.129,TCP,54,[]
16563,180.710017,18.64.141.129,10.200.52.16,TCP,1494,[]
15850,170.572915,18.64.141.129,10.200.52.16,TCP,1494,[]
11455,114.592731,10.200.52.16,172.217.21.37,TCP,54,[]
13049,131.29087,10.200.52.16,18.64.141.129,TCP,54,[]
3905,40.785524,10.200.52.16,18.64.141.129,TCP,90,[]
2433,21.000895,10.200.52.16,18.64.141.129,TCP,54,[]
17470,190.759464,10.200.52.16,18.64.141.129,TCP,90,[]
9829,100.845248,18.64.141.129,10.200.52.16,TCP,1494,[]
4648,41.77561,18.64.141.129,10.200.52.16,TCP,1494,[]
8470,81.040246,10.200.52.16,18.64.141.129,TCP,54,[]
16443,170.907168,18.64.141.129,10.200.52.16,TCP,1494,[]
897,10.326524,10.200.52.16,18.64.141.129,TCP,66,[]
9804,100.698926,10.200.52.16,18.64.141.129,TCP,66,[]
7001,60.867801,18.64.141.129,10.200.52.16,TCP,1494,[]
1588,10.808332,18.64.141.129,10.200.52.16,TCP,1494,[]
6687,60.430599,18.64.141.129,10.200.52.16,TCP,1494,[]
13559,140.759316,18.64.141.129,10.200.52.16,TCP,1494,[]
12962,131.242239,18.64.141.129,10.200.52.16,TCP,1494,[]
15855,170.57333,10.200.52.16,18.64.141.129,TCP,54,[]
1720,15.187649,172.217.17.35,10.200.52.16,UDP,1292,[]
6101,51.21955,10.200.52.16,172.217.19.173,UDP,151,[]
15034,160.636382,18.64.141.129,10.200.52.16,TCP,1494,[]
3807,37.750026,10.200.52.16,104.225.98.129,TCP,54,[]
8807,81.233667,18.64.141.129,10.200.52.16,TCP,1494,[]
2505,21.008418,10.200.52.16,18.64.141.129,TCP,90,[]
12894,131.23489,10.200.52.16,18.64.141.129,TCP,54,[]
3962,40.902223,18.64.141.129,10.200.52.16,TCP,1494,[]
8924,86.33918,10.200.52.16,13.107.6.158,TCP,55,[]
17682,191.19897,10.200.52.16,18.64.141.129,TCP,66,[]
7037,60.877563,10.200.52.16,18.64.141.129,TCP,54,[]
13757,140.9138,10.200.52.16,18.64.141.129,TCP,66,[]
13248,139.068256,10.200.52.16,172.217.17.35,UDP,115,[]
6079,51.113212,10.200.52.16,104.18.2.161,UDP,87,[]
14280,150.771708,18.64.141.129,10.200.52.16,TCP,1494,[]
891,10.326153,10.200.52.16,18.64.141.129,TCP,74,[]
10957,110.787766,10.200.52.16,18.64.141.129,TCP,54,[]
19406,211.10522,18.64.141.129,10.200.52.16,TCP,1494,[]
4007,40.976101,10.200.52.16,18.64.141.129,TCP,66,[]
4940,46.538416,104.18.2.161,10.200.52.16,UDP,1242,[]
18239,200.860799,10.200.52.16,18.64.141.129,TCP,66,[]
16477,174.015656,Cisco_07:9d:d9,Spanning-tree-(for-bridges)_00,STP,64,[]
5899,51.043187,10.200.52.16,18.64.141.129,TCP,54,[]
14366,150.782805,10.200.52.16,18.64.141.129,TCP,54,[]
17761,191.416056,10.200.52.16,18.64.141.129,TCP,54,[]
14012,140.945526,10.200.52.16,18.64.141.129,TCP,54,[]
8552,81.136564,18.64.141.129,10.200.52.16,TCP,1494,[]
7617,70.802374,18.64.141.129,10.200.52.16,TCP,1494,[]
13826,140.920385,18.64.141.129,10.200.52.16,TCP,1494,[]
10992,110.915585,18.64.141.129,10.200.52.16,TCP,1494,[]
13883,140.931675,10.200.52.16,18.64.141.129,TCP,66,[]
585,0.724996,10.200.52.16,18.64.141.129,TCP,54,[]
11461,114.59368,172.217.21.37,10.200.52.16,TCP,1466,[]
3933,40.899583,18.64.141.129,10.200.52.16,TCP,1494,[]
13158,135.966608,10.200.52.16,192.249.116.249,TLSv1.2,230,[]
1261,10.781872,10.200.52.16,18.64.141.129,TCP,66,[]
17108,181.182229,18.64.141.129,10.200.52.16,TCP,1494,[]
14392,150.883101,18.64.141.129,10.200.52.16,TCP,1494,[]
14885,154.731139,10.200.52.16,8.8.8.8,TCP,66,[]
311,0.562052,10.200.52.16,18.64.141.129,TCP,66,[]
1717,15.054806,10.200.52.16,172.217.17.35,UDP,122,[]
11501,120.335505,10.200.52.16,18.64.141.129,TCP,54,[]
6010,51.078769,10.200.52.16,8.8.4.4,TCP,54,[]
2053,20.770035,10.200.52.16,18.64.141.129,TCP,54,[]
18986,210.827006,18.64.141.129,10.200.52.16,TCP,1494,[]
4669,41.984533,8.8.4.4,10.200.52.16,DNS,169,[]
4299,41.51493,18.64.141.129,10.200.52.16,TCP,1494,[]
6647,60.276017,10.200.52.16,18.64.141.129,TCP,54,[]
3784,37.359116,Cisco_07:9d:d9,LLDP_Multicast,LLDP,82,[]
1009,10.482272,10.200.52.16,18.64.141.129,TCP,66,[]
7348,64.454342,10.200.52.16,172.217.17.46,UDP,74,[]
18686,201.741343,18.64.141.129,10.200.52.16,TCP,1494,[]
10378,101.235286,18.64.141.129,10.200.52.16,TCP,1494,[]
7410,70.477557,18.64.141.129,10.200.52.16,TCP,1494,[]
11816,120.808087,10.200.52.16,18.64.141.129,TCP,54,[]
17829,191.601057,10.200.52.16,18.64.141.129,TCP,54,[]
8384,81.01643,18.64.141.129,10.200.52.16,TCP,1494,[]
9879,100.85299,10.200.52.16,18.64.141.129,TCP,54,[]
13160,136.086433,10.200.52.16,172.217.17.46,UDP,516,[]
2774,24.35694,10.200.52.16,13.107.6.158,TLSv1.2,159,[]
13027,131.289025,18.64.141.129,10.200.52.16,TCP,1494,[]
4060,41.143903,18.64.141.129,10.200.52.16,TCP,1494,[]
12949,131.241656,10.200.52.16,18.64.141.129,TCP,54,[]
8722,81.206643,18.64.141.129,10.200.52.16,TCP,1494,[]
91,0.403931,18.64.141.129,10.200.52.16,TCP,1494,[]
1988,20.764631,18.64.141.129,10.200.52.16,TCP,1494,[]
17403,190.629477,18.64.141.129,10.200.52.16,TCP,1494,[]
18151,200.648745,10.200.52.16,224.0.0.251,MDNS,79,[]
18111,200.379493,10.200.52.16,18.64.141.129,TCP,66,[]
7280,61.041157,18.64.141.129,10.200.52.16,TCP,1494,[]
13163,136.10144,10.200.52.16,172.217.21.37,TCP,1466,[]
2673,21.541528,8.8.4.4,10.200.52.16,TCP,60,[]
10310,101.194062,10.200.52.16,18.64.141.129,TCP,54,[]
