Info
"443  >  62984 [PSH, ACK] Seq=13289801 Ack=12810 Win=557 Len=1440 [TCP segment of a reassembled PDU]"
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=9389641 Ack=8979 Win=543 Len=1440 [TCP segment of a reassembled PDU]
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=8551458 Ack=8340 Win=541 Len=1440 [TCP segment of a reassembled PDU]
49926  >  443 Len=45
[TCP Previous segment not captured] 443  >  62984 [ACK] Seq=1797540 Ack=1314 Win=515 Len=1440 [TCP segment of a reassembled PDU]
"443  >  62984 [PSH, ACK] Seq=5113236 Ack=4506 Win=526 Len=1440 [TCP segment of a reassembled PDU]"
"443  >  62984 [PSH, ACK] Seq=5396406 Ack=5145 Win=529 Len=1440 [TCP segment of a reassembled PDU]"
63650  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
443  >  58506 Len=47
443  >  62984 [ACK] Seq=9103202 Ack=8979 Win=543 Len=1440 [TCP segment of a reassembled PDU]
443  >  62984 [ACK] Seq=13840411 Ack=13449 Win=559 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=7062 Ack=7085553 Win=4162 Len=0
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=6789150 Ack=6423 Win=534 Len=1440 [TCP segment of a reassembled PDU]
62984  >  443 [ACK] Seq=9617 Ack=9774986 Win=4162 Len=0
"443  >  62984 [PSH, ACK] Seq=11391591 Ack=10893 Win=550 Len=1440 [TCP segment of a reassembled PDU]"
62984  >  443 [ACK] Seq=3230 Ack=3637154 Win=4162 Len=0
443  >  62984 [ACK] Seq=2494758 Ack=1953 Win=517 Len=1440 [TCP segment of a reassembled PDU]
[TCP Out-Of-Order] 443  >  62984 [ACK] Seq=9599881 Ack=8979 Win=543 Len=1440 [TCP segment of a reassembled PDU]
"443  >  62984 [PSH, ACK] Seq=13410761 Ack=12810 Win=557 Len=1440 [TCP segment of a reassembled PDU]"
443  >  63586 [ACK] Seq=1742 Ack=1137 Win=16383 Len=0
[TCP Dup ACK 101#1] 62984  >  443 [ACK] Seq=36 Ack=73679 Win=4162 Len=0 SLE=75119 SRE=77999
[TCP Dup ACK 18997#1] 62984  >  443 [ACK] Seq=13449 Ack=13575943 Win=4162 Len=0 SLE=13577383 SRE=13578823
55662  >  443 Len=33
Standard query response 0xba73 HTTPS play.google.com SOA ns1.google.com
[TCP Dup ACK 9047#1] 62984  >  443 [ACK] Seq=5784 Ack=5833035 Win=4162 Len=0 SLE=5834475 SRE=5835915
